1967,22,766,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,4.88,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.8,39.9,2.75,12.49,1.28,1.67,NA,1,N/A yet,,
1968,22,848,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,4.48,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.133,43,5.85,18.24,-1.04,-2.97,NA,1,N/A yet,,
1969,17,1041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.5,4.52,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.7,44.95,7.8,14.37,-4.89,-2.58,NA,1,N/A yet,,
1970,18,1045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.1,4.53,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.7,41.15,3.35,11.51,-1.89,-1.08,NA,1,N/A yet,,
1971,20,1183,0.615,0.062,N/A,N/A,N/A,N/A,N/A,N/A,0,10,11.4,4.96,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.733,42.45,3.2,13.54,-0.96,-0.08,NA,1,N/A yet,,
1972,23,1243,0.819,0.091,N/A,N/A,N/A,N/A,N/A,N/A,35,43,10.7,5.21,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.433,44.1,-0.05,16.11,0.34,2.05,NA,1,N/A yet,,
1973,24,1215,0.760,0.090,N/A,N/A,N/A,N/A,N/A,N/A,26,29,15.1,5.53,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.2,42.7,10.85,17.24,2.52,0.27,NA,0,N/A yet,,
1974,31,1203,0.599,0.093,N/A,N/A,N/A,N/A,N/A,N/A,4,26,14.7,5.97,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.133,41.55,5.65,15.86,1.23,2.18,19.674,1,N/A yet,,
1975,41,1139,0.645,0.139,N/A,N/A,N/A,N/A,N/A,N/A,15,37,12.3,6.31,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.733,42.8,9.05,13.52,1.63,0.01,18.380,0,N/A yet,,
1976,44,1070,0.563,0.139,N/A,N/A,N/A,N/A,N/A,N/A,13,25,10.3,6.61,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.867,45.95,10.45,10.92,1.37,0.59,21.062,0,N/A yet,,
1977,34,949,0.298,0.064,N/A,N/A,N/A,N/A,N/A,N/A,39,25,6.1,6.99,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.767,50.55,4.7,17.72,-2.14,-2.08,15.074,1,N/A yet,,
1978,40,845,0.507,0.144,N/A,N/A,N/A,N/A,N/A,N/A,6,24,10.2,7.37,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.3,44.9,3.25,18.44,0.17,-0.42,17.055,0,N/A yet,,
1979,43,857,0.387,0.117,N/A,N/A,N/A,N/A,N/A,N/A,13,22,13,7.98,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.533,39.5,-1.15,13.9,-2.25,-0.23,25.737,1,N/A yet,,
1980,50,788,0.330,0.126,N/A,N/A,N/A,N/A,N/A,N/A,6,21,12,7.95,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.1,47.95,7.15,12.89,0.56,-1.58,14.139,0,N/A yet,,
1981,30,767,0.217,0.051,N/A,N/A,N/A,N/A,N/A,N/A,54,23,23.7,7.89,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.333,44.5,11.7,13.32,2.05,-0.55,11.170,0,N/A yet,,
1982,14,780,0.869,0.094,N/A,N/A,N/A,N/A,N/A,N/A,53,0,20.7,7.97,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59,43.75,0.4,16.11,0.8,2.63,21.216,1,N/A yet,,
1983,23,830,0.394,0.065,N/A,N/A,N/A,N/A,N/A,N/A,29,57,16.4,7.35,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.633,41.1,14.45,13.93,3.42,0.38,16.248,0,N/A yet,,
1984,24,927,0.440,0.068,N/A,N/A,N/A,N/A,N/A,N/A,41,44,14.5,6.78,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.133,44.85,12.5,13.5,1.6,2.17,12.785,0,N/A yet,,
1985,22,976,0.457,0.062,N/A,N/A,N/A,N/A,N/A,N/A,38,32,13.1,6.06,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.933,47.05,5.45,17.16,-0.63,-3.09,13.504,1,N/A yet,,
1986,20,1014,0.670,0.079,N/A,N/A,N/A,N/A,N/A,N/A,27,20,16,5.68,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.4,47.45,9.8,16.14,0.5,3.14,23.097,0,N/A yet,,
1987,16,1046,0.549,0.050,N/A,N/A,N/A,N/A,N/A,N/A,43,28,16,5.32,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.5,49.2,17.95,17.34,-0.75,-3.01,14.057,0,N/A yet,,
1988,12,1116,0.864,0.056,N/A,N/A,N/A,N/A,N/A,N/A,44,25,15.2,5.28,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.133,47.3,3.1,18.98,0.72,-0.13,17.378,1,994,,
1989,12,1260,0.810,0.046,N/A,N/A,N/A,N/A,N/A,N/A,8,8,13.4,5.37,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.4,43.35,6.6,13.56,5.08,2.38,23.250,0,767,,
1990,15,1315,0.857,0.059,N/A,N/A,N/A,N/A,N/A,N/A,0,20,14.8,5.54,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,43.15,13.05,11.48,3.96,3.88,20.319,0,820,,
1991,12,1496,1.029,0.050,N/A,N/A,N/A,N/A,N/A,N/A,20,0,13.9,5.75,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.367,48.35,9.1,13.63,1.03,1.14,15.179,1,1036,,
1992,12,1697,1.428,0.061,N/A,N/A,N/A,N/A,N/A,N/A,17,17,10.9,6.00,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.433,44.15,15.2,15.23,3.28,2.54,18.077,0,772,,
1993,13,1784,0.877,0.038,N/A,N/A,N/A,N/A,N/A,N/A,8,15,14,6.20,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.9,42.6,9.1,18.3,2.67,1.71,15.179,0,689,,
1994,17,2017,0.792,0.040,N/A,N/A,N/A,N/A,N/A,N/A,31,47,12,6.43,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.7,44.6,-0.4,15.35,3.03,2.86,18.613,1,886,,
1995,16,2117,1.391,0.063,N/A,N/A,N/A,N/A,N/A,N/A,18,12,7,6.70,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.567,41.65,9.5,14.89,3.96,-1.11,10.265,0,806,,
1996,22,2398,1.274,0.070,N/A,N/A,N/A,N/A,N/A,N/A,12,32,3,7.18,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.567,40.3,2.8,14.56,-3.78,-1.98,33.246,1,690,,
1997,24,900,0.638,0.102,N/A,0,N/A,N/A,N/A,N/A,23,29,13,6.06,5,2.135,2.970,29.044,50.318,,,,N/A,60.3,40.7,8.35,11.26,-0.17,-0.93,25.525,1,757,,
1998,14,925,0.802,0.073,N/A,0.070,N/A,N/A,N/A,N/A,54,21,14,6.30,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,49.4,20.75,12.2,0.72,1.03,16.944,0,1027,,
1999,25,997,0.631,0.095,N/A,0.180,0.79 (0.12),0.65 (0.06),0.71 (0.05),0.93,7,48,6,6.67,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.033,47.35,12.4,20.51,1.7,2.25,15.369,0,991,,
2000,29,1031,0.474,0.080,N/A,0.250,0.81 (0.12),0.60 (0.12),0.70 (0.05),0.96,4,17,14,7.10,7,2.145,2.871,33.733,42.432,,,,N/A,60.067,45.1,12.6,15.12,2.8,1.18,11.811,0,864,,
2001,19,1120,0.877,0.089,N/A,0.300,0.72 (0.17),0.68 (0.08),0.70 (0.07),0.49,51.0,17.2,11,7.55,8,2.630,2.710,20.088,36.571,,,,0.33,61.8,46,10.05,16.22,-1.9,-1.91,23.075,0,852,,
2002,17,1100,1.139,0.106,N/A,0.350,0.56 (0.21),0.74 (0.09),0.65 (0.08),0.53,47.0,36.8,8,8.05,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.46,63.033,41,16.65,15.47,0.76,1,8.209,0,742,,
2003,19,900,0.728,0.092,0.057,0.473,0.73 (0.12),0.69 (0.06),0.71 (0.06),0.71,29.0,41.2,7,8.28,9,2.269,2.805,29.848,40.736,N/A,N/A,N/A,0.64,62.367,44.2,5.8,12.61,0.2,-0.09,6.780,0,858,,
2004,29,750,0.834,0.194,0.087,0.465,0.78 (0.08),0.66 (0.06),0.72 (0.05),0.89,11.0,63.2,8,8.89,10,2.426,3.320,30.227,57.020,,,,0.68,59.567,42.05,7.6,12.05,-0.07,0.7,16.696,0,675,,
2005,30,540,0.724,0.241,0.143,0.521,0.81 (0.10),0.64 (0.06),0.72 (0.06),0.66,34.0,37.9,10.5,9.16,10,2.060,2.126,31.878,35.475,,,,0.52,62.267,45.85,10.15,13.52,0.12,-1.35,27.559,0,868,,
2006,30,450,0.507,0.203,0.150,0.531,0.84 (0.11),0.61 (0.07),0.72 (0.05),0.77,23.0,23.3,5.9,9.72,10,2.928,2.890,45.568,40.218,,,,0.60,62.3,48.8,15.2,11.86,-1.09,-0.2,16.426,0,981,,
2007,21,385,0.695,0.228,0.189,0.558,0.78 (0.10),0.67 (0.06),0.72 (0.05),0.57,43.3,13.3,5,10.05,10,2.025,3.131,28.828,51.489,,,,0.77,61.3,45.4,7.95,10.13,2.79,1.35,7.087,0,996,,
2008,23,650,0.733,0.156,0.224,0.594,0.79 (0.09),0.67 (0.04),0.72 (0.05),0.9,9.5,19.0,10.5,NA yet,NA yet,2.216,2.821,34.276,42.375,,,,0.55,60.533,41.55,7.75,13.53,2.1,1.72,14.291,1,737,,
2009,24,530,0.639,0.174,0.230,0.567,N/A,N/A,N/A,N/A,26.1,30.4,12.9,NA yet,NA yet,2.652,3.683,37.112,69.159,,,,0.53,60,43.55,6,11.78,-0.41,0.72,22.953,0,704,,
2010,19,510,0.438,0.103,0.221,0.522,N/A,N/A,N/A,N/A,41.7,20.8,11.9,NA yet,NA yet,2.469,1.956,35.629,34.848,,,,0.41,61.367,49.2,10.65,15.62,-4.64,-5.96,12.913,0,1198,,
2011,16,515,0.668,0.105,0.183,0.453,N/A,N/A,N/A,N/A,26.3,10.5,11.3,NA yet,NA yet,2.368,3.084,33.796,47.014,,,,0.50,62.433,43.85,6.85,13.16,-1.57,2.95,19.291,0,802,,
2012,9,750,0.461,0.033,0.133,0.391,N/A,N/A,N/A,N/A,43.8,0.0,20.9,NA yet,NA yet,2.194,2.408,35.780,41.889,27.62,16.08,54.25,0.55,62.067,46.5,17.15,19.8,3.17,-0.25,14.173,0,N/A yet,,
2013,8,975,1.308,0.024,0.140,0.357,N/A,N/A,N/A,N/A,11.1,0.0,12,NA yet,NA yet,2.255,2.753,45.661,47.208,41.09,27.19,27.95,NA yet,61.833,39.8,8.95,15.07,-1.97,0.9,11.654,0,N/A yet,,
2014,9,1050,0.457,0.024,0.159,0.372,N/A,N/A,N/A,N/A,25.0,37.5,15,NA yet,NA yet,3.446,4.349,40.216,46.059,35.96,32.56,28.82,NA yet,60.167,42.05,-1.05,16.8,3.1,2.97,28.504,1,N/A yet,,
2015,3,1250,0.534,0.008,0.292,0.344,N/A,N/A,N/A,N/A,70.0,10.0,22,NA yet,NA yet,2.605,2.563,43.154,44.962,36.38,11.78,50.54,NA yet,62.867,44.65,3.85,15.5,3.56,4.09,18.898,1,N/A yet,,
2016,2,1300,1.400,0.013,0.218,0.344,N/A,N/A,N/A,N/A,N/A,N/A,21.6,NA yet,NA yet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA yet,62.6,44.2,11.95,15.62,0.98,1.7,25.998,0,N/A yet,,
2017,2,1600,1.400,0.011,0.218,0.344,N/A,N/A,N/A,N/A,N/A,N/A,NA yet,NA yet,NA yet,2.259,3.096,51.207,53.985,30.99,22.85,45.53,NA yet,60.633,43.85,15.4,16.12,1.47,1.14,16.201,0,N/A yet,,
2018,2,1475,1.383,0.011,0.218,0.344,N/A,N/A,N/A,N/A,N/A,N/A,NA yet,NA yet,NA yet,1.84,2.57,NA yet,NA yet,26.25,24.87,48.04,NA yet,61.8,42.7,6.05,13.05,0.3,,19.232,1,N/A yet,,
2019,15,2060,NA yet,NA yet,NA yet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA yet,NA yet,NA yet,3.06,4.14,NA yet,NA yet,15.71,37.17,44.94,NA yet,NA yet,41.65,3.5,NA yet,NA yet,NA yet,NA yet,1,N/A yet,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
